Formation,Commentaire
Marketing Digital,"Très utile pour mon métier actuel, je recommande !"
Finance,Expérience enrichissante et formatrice.
Réseaux & Systèmes,Support pédagogique de qualité.
Marketing Digital,La formation m’a aidé à décrocher un emploi.
IA & Machine Learning,"Formation bien construite, j’ai apprécié le rythme."
Cloud Computing,Cours intéressants mais manque de mise en pratique.
Cloud Computing,Rien de nouveau par rapport à mes cours précédents.
Marketing Digital,Les vidéos sont longues et parfois confuses.
Data Science,"Pédagogie excellente, support complet."
IA & Machine Learning,Encadrement très présent et bienveillant.
Cloud Computing,Encadrement très présent et bienveillant.
Informatique,"Très bonne expérience, j’ai beaucoup appris."
Informatique,"Très bonne expérience, j’ai beaucoup appris."
Data Science,Super formation ! Les cas pratiques sont pertinents.
Réseaux & Systèmes,Expérience enrichissante et formatrice.
Cloud Computing,"Pédagogie excellente, support complet."
Marketing Digital,Cours intéressants mais manque de mise en pratique.
Cloud Computing,Bonne alternance entre théorie et pratique.
Informatique,La formation m’a aidé à décrocher un emploi.
Informatique,Ennuyeux et peu motivant.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris."
IA & Machine Learning,Formation trop dense en peu de temps.
Informatique,Bonne alternance entre théorie et pratique.
Cybersécurité,Support pédagogique de qualité.
Cloud Computing,Support pédagogique de qualité.
IA & Machine Learning,Cours intéressants mais manque de mise en pratique.
Développement Web,Manque d'interaction avec les intervenants.
Business Intelligence,"Pédagogie excellente, support complet."
Réseaux & Systèmes,Trop de redondance avec d'autres cours déjà suivis.
Business Intelligence,Je me suis senti accompagné du début à la fin.
Marketing Digital,"Des modules un peu trop longs, mais globalement bien."
Finance,"Très bonne expérience, j’ai beaucoup appris."
Informatique,Ennuyeux et peu motivant.
Développement Web,La formation m’a aidé à décrocher un emploi.
Business Intelligence,Les cours sont mal structurés.
Cloud Computing,Un peu déçu par l’organisation des cours.
Data Science,Rien de nouveau par rapport à mes cours précédents.
Développement Web,"Très utile pour mon métier actuel, je recommande !"
Développement Web,Les enseignants sont compétents et disponibles.
Marketing Digital,Trop de redondance avec d'autres cours déjà suivis.
Développement Web,"Très bonne expérience, j’ai beaucoup appris."
Data Science,Support pédagogique de qualité.
IA & Machine Learning,Les enseignants sont compétents et disponibles.
Business Intelligence,Je trouve que le niveau est trop bas.
Développement Web,Rien de nouveau par rapport à mes cours précédents.
IA & Machine Learning,Manque d'interaction avec les intervenants.
IA & Machine Learning,"Trop de théorie, peu de projets pratiques."
Informatique,Cours intéressants mais manque de mise en pratique.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !"
Cybersécurité,Cours intéressants mais manque de mise en pratique.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !"
Finance,"Très bonne expérience, j’ai beaucoup appris."
Développement Web,Les sujets traités sont très actuels.
Finance,Les sujets traités sont très actuels.
Réseaux & Systèmes,"Excellente formation, très claire et bien expliquée."
Business Intelligence,Bonne alternance entre théorie et pratique.
Finance,Les outils utilisés sont obsolètes.
Cloud Computing,"Pédagogie excellente, support complet."
Data Science,"Des modules un peu trop longs, mais globalement bien."
Réseaux & Systèmes,Pas assez de retours sur les exercices proposés.
Développement Web,La formation m’a aidé à décrocher un emploi.
