Formation,Commentaire,Commentaire_anglais
Marketing Digital,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
Finance,Expérience enrichissante et formatrice.,Enriching and trainer experience.
Réseaux & Systèmes,Support pédagogique de qualité.,Quality educational support.
Marketing Digital,La formation m’a aidé à décrocher un emploi.,The training helped me get a job.
IA & Machine Learning,"Formation bien construite, j’ai apprécié le rythme.","Well built training, I appreciated the pace."
Cloud Computing,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Cloud Computing,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Marketing Digital,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Data Science,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
IA & Machine Learning,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Cloud Computing,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Informatique,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Informatique,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Data Science,Super formation ! Les cas pratiques sont pertinents.,Great training! Practical cases are relevant.
Réseaux & Systèmes,Expérience enrichissante et formatrice.,Enriching and trainer experience.
Cloud Computing,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Marketing Digital,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Cloud Computing,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Informatique,La formation m’a aidé à décrocher un emploi.,The training helped me get a job.
Informatique,Ennuyeux et peu motivant.,Boring and unwanted.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
IA & Machine Learning,Formation trop dense en peu de temps.,Too dense training in a short time.
Informatique,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Cybersécurité,Support pédagogique de qualité.,Quality educational support.
Cloud Computing,Support pédagogique de qualité.,Quality educational support.
IA & Machine Learning,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Développement Web,Manque d'interaction avec les intervenants.,Lack of interaction with the speakers.
Business Intelligence,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Réseaux & Systèmes,Trop de redondance avec d'autres cours déjà suivis.,Too much redundancy with other courses already followed.
Business Intelligence,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Marketing Digital,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Finance,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Informatique,Ennuyeux et peu motivant.,Boring and unwanted.
Développement Web,La formation m’a aidé à décrocher un emploi.,The training helped me get a job.
Business Intelligence,Les cours sont mal structurés.,The courses are poorly structured.
Cloud Computing,Un peu déçu par l’organisation des cours.,A little disappointed by the organization of courses.
Data Science,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Développement Web,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
Développement Web,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Marketing Digital,Trop de redondance avec d'autres cours déjà suivis.,Too much redundancy with other courses already followed.
Développement Web,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Data Science,Support pédagogique de qualité.,Quality educational support.
IA & Machine Learning,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Business Intelligence,Je trouve que le niveau est trop bas.,I find that the level is too low.
Développement Web,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
IA & Machine Learning,Manque d'interaction avec les intervenants.,Lack of interaction with the speakers.
IA & Machine Learning,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Informatique,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
Cybersécurité,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
IA & Machine Learning,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
Finance,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Développement Web,Les sujets traités sont très actuels.,The subjects treated are very current.
Finance,Les sujets traités sont très actuels.,The subjects treated are very current.
